timestep,person1_id,person2_id,location_id,location_type,contact_duration,person1_infectious,person2_infectious,person1_masked,person2_masked,both_masked,age_diff,same_household
60,143,163,2,facility,1,False,False,False,False,False,22,False
60,143,95,2,facility,1,False,False,False,False,False,21,False
60,143,45,2,facility,1,False,False,False,False,False,67,False
60,143,54,2,facility,1,False,False,False,False,False,0,False
60,163,95,2,facility,1,False,False,False,False,False,1,False
60,163,45,2,facility,1,False,False,False,False,False,45,False
60,163,54,2,facility,1,False,False,False,False,False,22,False
60,95,45,2,facility,1,False,False,False,False,False,46,False
60,95,54,2,facility,1,False,False,False,False,False,21,False
60,45,54,2,facility,1,False,False,False,False,False,67,False
60,155,108,4,facility,1,False,False,False,False,False,26,False
60,155,75,4,facility,1,False,False,False,False,False,30,False
60,108,75,4,facility,1,False,False,False,False,False,4,False
60,66,154,10,facility,1,False,False,False,False,False,8,False
60,66,137,10,facility,1,False,False,False,False,False,5,False
60,66,33,10,facility,1,False,False,False,False,False,12,False
60,66,117,10,facility,1,False,False,False,False,False,30,False
60,66,4,10,facility,1,False,False,False,False,False,23,False
60,66,34,10,facility,1,False,False,False,False,False,30,False
60,154,137,10,facility,1,False,False,False,False,False,13,False
60,154,33,10,facility,1,False,False,False,False,False,20,False
60,154,117,10,facility,1,False,False,False,False,False,22,False
60,154,4,10,facility,1,False,False,False,False,False,15,False
60,154,34,10,facility,1,False,False,False,False,False,22,False
60,137,33,10,facility,1,False,False,False,False,False,7,False
60,137,117,10,facility,1,False,False,False,False,False,35,False
60,137,4,10,facility,1,False,False,False,False,False,28,False
60,137,34,10,facility,1,False,False,False,False,False,35,False
60,33,117,10,facility,1,False,False,False,False,False,42,False
60,33,4,10,facility,1,False,False,False,False,False,35,False
60,33,34,10,facility,1,False,False,False,False,False,42,True
60,117,4,10,facility,1,False,False,False,False,False,7,False
60,117,34,10,facility,1,False,False,False,False,False,0,False
60,4,34,10,facility,1,False,False,False,False,False,7,False
60,58,46,12,facility,1,False,False,False,False,False,52,False
60,58,13,12,facility,1,False,False,False,False,False,8,False
60,46,13,12,facility,1,False,False,False,False,False,44,False
60,170,10,13,facility,1,False,False,False,False,False,32,False
60,55,90,14,facility,1,False,False,False,False,False,16,False
60,55,172,14,facility,1,False,False,False,False,False,21,False
60,55,135,14,facility,1,False,False,False,False,False,47,False
60,90,172,14,facility,1,False,False,False,False,False,5,False
60,90,135,14,facility,1,False,False,False,False,False,31,False
60,172,135,14,facility,1,False,False,False,False,False,26,False
60,59,8,16,facility,1,False,False,False,False,False,35,False
60,162,73,20,facility,1,False,False,False,False,False,25,False
60,162,138,20,facility,1,False,False,False,False,False,33,False
60,73,138,20,facility,1,False,False,False,False,False,58,False
60,14,91,22,facility,1,False,False,False,False,False,32,False
60,14,151,22,facility,1,False,False,False,False,False,19,False
60,91,151,22,facility,1,False,False,False,False,False,13,False
60,132,133,25,facility,1,False,False,False,False,False,20,True
60,132,41,25,facility,1,False,False,False,False,False,8,False
60,133,41,25,facility,1,False,False,False,False,False,12,False
120,163,143,2,facility,1,False,False,False,False,False,22,False
120,163,95,2,facility,1,False,False,False,False,False,1,False
120,163,111,2,facility,1,False,False,False,False,False,44,False
120,163,45,2,facility,1,False,False,False,False,False,45,False
120,163,54,2,facility,1,False,False,False,False,False,22,False
120,163,52,2,facility,1,False,False,False,False,False,31,False
120,163,2,2,facility,1,False,False,False,False,False,12,False
120,143,95,2,facility,1,False,False,False,False,False,21,False
120,143,111,2,facility,1,False,False,False,False,False,66,False
120,143,45,2,facility,1,False,False,False,False,False,67,False
120,143,54,2,facility,1,False,False,False,False,False,0,False
120,143,52,2,facility,1,False,False,False,False,False,53,False
120,143,2,2,facility,1,False,False,False,False,False,10,False
120,95,111,2,facility,1,False,False,False,False,False,45,False
120,95,45,2,facility,1,False,False,False,False,False,46,False
120,95,54,2,facility,1,False,False,False,False,False,21,False
120,95,52,2,facility,1,False,False,False,False,False,32,False
120,95,2,2,facility,1,False,False,False,False,False,11,False
120,111,45,2,facility,1,False,False,False,False,False,1,False
120,111,54,2,facility,1,False,False,False,False,False,66,False
120,111,52,2,facility,1,False,False,False,False,False,13,False
120,111,2,2,facility,1,False,False,False,False,False,56,False
120,45,54,2,facility,1,False,False,False,False,False,67,False
120,45,52,2,facility,1,False,False,False,False,False,14,False
120,45,2,2,facility,1,False,False,False,False,False,57,False
120,54,52,2,facility,1,False,False,False,False,False,53,False
120,54,2,2,facility,1,False,False,False,False,False,10,False
120,52,2,2,facility,1,False,False,False,False,False,43,False
120,19,142,3,facility,1,False,False,False,False,False,71,False
120,75,25,4,facility,1,False,False,False,False,False,27,False
120,75,21,4,facility,1,False,False,False,False,False,22,False
120,25,21,4,facility,1,False,False,False,False,False,49,True
120,168,117,10,facility,1,False,False,False,False,False,11,False
120,168,4,10,facility,1,False,False,False,False,False,4,False
120,168,34,10,facility,1,False,False,False,False,False,11,False
120,117,4,10,facility,1,False,False,False,False,False,7,False
120,117,34,10,facility,1,False,False,False,False,False,0,False
120,4,34,10,facility,1,False,False,False,False,False,7,False
120,46,49,12,facility,1,False,False,False,False,False,44,False
120,46,13,12,facility,1,False,False,False,False,False,44,False
120,46,116,12,facility,1,False,False,False,False,False,43,False
120,46,107,12,facility,1,False,False,False,False,False,55,False
120,49,13,12,facility,1,False,False,False,False,False,0,False
120,49,116,12,facility,1,False,False,False,False,False,1,False
120,49,107,12,facility,1,False,False,False,False,False,11,False
120,13,116,12,facility,1,False,False,False,False,False,1,False
120,13,107,12,facility,1,False,False,False,False,False,11,False
120,116,107,12,facility,1,False,False,False,False,False,12,False
120,170,27,13,facility,1,False,False,False,False,False,18,False
120,170,10,13,facility,1,False,False,False,False,False,32,False
120,170,174,13,facility,1,False,False,False,False,False,43,False
120,170,127,13,facility,1,False,False,False,False,False,43,False
120,27,10,13,facility,1,False,False,False,False,False,14,False
120,27,174,13,facility,1,False,False,False,False,False,25,False
120,27,127,13,facility,1,False,False,False,False,False,25,False
120,10,174,13,facility,1,False,False,False,False,False,11,False
120,10,127,13,facility,1,False,False,False,False,False,11,False
120,174,127,13,facility,1,False,False,False,False,False,0,False
120,15,55,14,facility,1,False,False,False,False,False,5,False
120,15,90,14,facility,1,False,False,False,False,False,11,False
120,15,56,14,facility,1,False,False,False,False,False,35,False
120,15,76,14,facility,1,False,False,False,False,False,35,False
120,15,70,14,facility,1,False,False,False,False,False,28,False
120,15,97,14,facility,1,False,False,False,False,False,22,False
120,15,172,14,facility,1,False,False,False,False,False,16,False
120,15,135,14,facility,1,False,False,False,False,False,42,False
120,55,90,14,facility,1,False,False,False,False,False,16,False
120,55,56,14,facility,1,False,False,False,False,False,40,True
120,55,76,14,facility,1,False,False,False,False,False,40,False
120,55,70,14,facility,1,False,False,False,False,False,33,False
120,55,97,14,facility,1,False,False,False,False,False,17,False
120,55,172,14,facility,1,False,False,False,False,False,21,False
120,55,135,14,facility,1,False,False,False,False,False,47,False
120,90,56,14,facility,1,False,False,False,False,False,24,False
120,90,76,14,facility,1,False,False,False,False,False,24,False
120,90,70,14,facility,1,False,False,False,False,False,17,False
120,90,97,14,facility,1,False,False,False,False,False,33,False
120,90,172,14,facility,1,False,False,False,False,False,5,False
120,90,135,14,facility,1,False,False,False,False,False,31,False
120,56,76,14,facility,1,False,False,False,False,False,0,False
120,56,70,14,facility,1,False,False,False,False,False,7,False
120,56,97,14,facility,1,False,False,False,False,False,57,False
120,56,172,14,facility,1,False,False,False,False,False,19,False
120,56,135,14,facility,1,False,False,False,False,False,7,False
120,76,70,14,facility,1,False,False,False,False,False,7,False
120,76,97,14,facility,1,False,False,False,False,False,57,False
120,76,172,14,facility,1,False,False,False,False,False,19,False
120,76,135,14,facility,1,False,False,False,False,False,7,False
120,70,97,14,facility,1,False,False,False,False,False,50,False
120,70,172,14,facility,1,False,False,False,False,False,12,False
120,70,135,14,facility,1,False,False,False,False,False,14,False
120,97,172,14,facility,1,False,False,False,False,False,38,False
120,97,135,14,facility,1,False,False,False,False,False,64,False
120,172,135,14,facility,1,False,False,False,False,False,26,False
120,8,158,16,facility,1,False,False,False,False,False,3,False
120,8,159,16,facility,1,False,False,False,False,False,27,False
120,158,159,16,facility,1,False,False,False,False,False,30,True
120,20,39,20,facility,1,False,False,False,False,False,12,False
120,105,134,21,facility,1,False,False,False,False,False,20,False
120,105,102,21,facility,1,False,False,False,False,False,3,False
120,134,102,21,facility,1,False,False,False,False,False,23,False
120,133,41,25,facility,1,False,False,False,False,False,12,False
120,133,136,25,facility,1,False,False,False,False,False,45,False
120,41,136,25,facility,1,False,False,False,False,False,33,False
120,131,5,29,facility,1,False,False,False,False,False,6,False
120,69,29,36,facility,1,False,False,False,False,False,9,False
120,69,176,36,facility,1,False,False,False,False,False,12,False
120,29,176,36,facility,1,False,False,False,False,False,3,False
120,38,154,37,facility,1,False,False,False,False,False,18,False
120,38,92,37,facility,1,False,False,False,False,False,0,False
120,38,63,37,facility,1,False,False,False,False,False,14,False
120,38,11,37,facility,1,False,False,False,False,False,18,False
120,154,92,37,facility,1,False,False,False,False,False,18,False
120,154,63,37,facility,1,False,False,False,False,False,4,False
120,154,11,37,facility,1,False,False,False,False,False,0,False
120,92,63,37,facility,1,False,False,False,False,False,14,False
120,92,11,37,facility,1,False,False,False,False,False,18,False
120,63,11,37,facility,1,False,False,False,False,False,4,False
180,143,35,2,facility,1,False,False,False,False,False,20,False
180,143,95,2,facility,1,False,False,False,False,False,21,False
180,143,111,2,facility,1,False,False,False,False,False,66,False
180,143,45,2,facility,1,False,False,False,False,False,67,False
180,143,22,2,facility,1,False,False,False,False,False,3,False
180,143,130,2,facility,1,False,False,False,False,False,9,False
180,143,54,2,facility,1,False,False,False,False,False,0,False
180,143,52,2,facility,1,False,False,False,False,False,53,False
180,143,2,2,facility,1,False,False,False,False,False,10,False
180,35,95,2,facility,1,False,False,False,False,False,1,False
180,35,111,2,facility,1,False,False,False,False,False,46,False
180,35,45,2,facility,1,False,False,False,False,False,47,False
180,35,22,2,facility,1,False,False,False,False,False,17,False
180,35,130,2,facility,1,False,False,False,False,False,11,False
180,35,54,2,facility,1,False,False,False,False,False,20,False
180,35,52,2,facility,1,False,False,False,False,False,33,False
180,35,2,2,facility,1,False,False,False,False,False,10,False
180,95,111,2,facility,1,False,False,False,False,False,45,False
180,95,45,2,facility,1,False,False,False,False,False,46,False
180,95,22,2,facility,1,False,False,False,False,False,18,False
180,95,130,2,facility,1,False,False,False,False,False,12,False
180,95,54,2,facility,1,False,False,False,False,False,21,False
180,95,52,2,facility,1,False,False,False,False,False,32,False
180,95,2,2,facility,1,False,False,False,False,False,11,False
180,111,45,2,facility,1,False,False,False,False,False,1,False
180,111,22,2,facility,1,False,False,False,False,False,63,False
180,111,130,2,facility,1,False,False,False,False,False,57,False
180,111,54,2,facility,1,False,False,False,False,False,66,False
180,111,52,2,facility,1,False,False,False,False,False,13,False
180,111,2,2,facility,1,False,False,False,False,False,56,False
180,45,22,2,facility,1,False,False,False,False,False,64,False
180,45,130,2,facility,1,False,False,False,False,False,58,False
180,45,54,2,facility,1,False,False,False,False,False,67,False
180,45,52,2,facility,1,False,False,False,False,False,14,False
180,45,2,2,facility,1,False,False,False,False,False,57,False
180,22,130,2,facility,1,False,False,False,False,False,6,False
180,22,54,2,facility,1,False,False,False,False,False,3,False
180,22,52,2,facility,1,False,False,False,False,False,50,False
180,22,2,2,facility,1,False,False,False,False,False,7,False
180,130,54,2,facility,1,False,False,False,False,False,9,False
180,130,52,2,facility,1,False,False,False,False,False,44,False
180,130,2,2,facility,1,False,False,False,False,False,1,False
180,54,52,2,facility,1,False,False,False,False,False,53,False
180,54,2,2,facility,1,False,False,False,False,False,10,False
180,52,2,2,facility,1,False,False,False,False,False,43,False
180,19,142,3,facility,1,False,False,False,False,False,71,False
180,19,23,3,facility,1,False,False,False,False,False,51,False
180,142,23,3,facility,1,False,False,False,False,False,20,False
180,21,33,4,facility,1,False,False,False,False,False,64,False
180,4,7,10,facility,1,False,False,False,False,False,25,False
180,4,64,10,facility,1,False,False,False,False,False,7,False
180,4,34,10,facility,1,False,False,False,False,False,7,False
180,4,94,10,facility,1,False,False,False,False,False,7,False
180,7,64,10,facility,1,False,False,False,False,False,32,False
180,7,34,10,facility,1,False,False,False,False,False,32,False
180,7,94,10,facility,1,False,False,False,False,False,18,False
180,64,34,10,facility,1,False,False,False,False,False,0,False
180,64,94,10,facility,1,False,False,False,False,False,14,False
180,34,94,10,facility,1,False,False,False,False,False,14,False
180,107,49,12,facility,1,False,False,False,False,False,11,False
180,42,124,13,facility,1,False,False,False,False,False,25,False
180,42,156,13,facility,1,False,False,False,False,False,4,False
180,42,10,13,facility,1,False,False,False,False,False,33,False
180,42,174,13,facility,1,False,False,False,False,False,22,False
180,42,51,13,facility,1,False,False,False,False,False,32,False
180,42,84,13,facility,1,False,False,False,False,False,30,False
180,42,80,13,facility,1,False,False,False,False,False,9,False
180,42,127,13,facility,1,False,False,False,False,False,22,False
180,124,156,13,facility,1,False,False,False,False,False,29,False
180,124,10,13,facility,1,False,False,False,False,False,8,False
180,124,174,13,facility,1,False,False,False,False,False,3,False
180,124,51,13,facility,1,False,False,False,False,False,7,False
180,124,84,13,facility,1,False,False,False,False,False,5,False
180,124,80,13,facility,1,False,False,False,False,False,16,False
180,124,127,13,facility,1,False,False,False,False,False,3,False
180,156,10,13,facility,1,False,False,False,False,False,37,False
180,156,174,13,facility,1,False,False,False,False,False,26,False
180,156,51,13,facility,1,False,False,False,False,False,36,False
180,156,84,13,facility,1,False,False,False,False,False,34,False
180,156,80,13,facility,1,False,False,False,False,False,13,False
180,156,127,13,facility,1,False,False,False,False,False,26,False
180,10,174,13,facility,1,False,False,False,False,False,11,False
180,10,51,13,facility,1,False,False,False,False,False,1,False
180,10,84,13,facility,1,False,False,False,False,False,3,False
180,10,80,13,facility,1,False,False,False,False,False,24,False
180,10,127,13,facility,1,False,False,False,False,False,11,False
180,174,51,13,facility,1,False,False,False,False,False,10,False
180,174,84,13,facility,1,False,False,False,False,False,8,False
180,174,80,13,facility,1,False,False,False,False,False,13,False
180,174,127,13,facility,1,False,False,False,False,False,0,False
180,51,84,13,facility,1,False,False,False,False,False,2,False
180,51,80,13,facility,1,False,False,False,False,False,23,False
180,51,127,13,facility,1,False,False,False,False,False,10,False
180,84,80,13,facility,1,False,False,False,False,False,21,False
180,84,127,13,facility,1,False,False,False,False,False,8,False
